Total Bits,Total Play Time,Simulation Run
230477.29999999923,16941.35,1
228859.70000000016,17267.22500000001,2
231722.49999999956,17287.27500000001,3
236127.5999999999,17259.175000000007,4
225782.10000000006,,5
225387.20000000007,17202.45,6
224034.00000000038,17249.37500000001,7
230928.9999999995,17241.025000000016,8
228834.0999999997,17203.425000000007,9
230937.8000000002,17111.80000000001,10
216397.79999999967,16904.025000000027,11
234179.4000000001,16967.174999999992,12
232405.70000000022,17330.00000000003,13
230569.99999999913,16886.625000000004,14
217964.69999999972,,15
221101.8999999994,16903.149999999994,16
214947.3000000005,16987.149999999994,17
236966.8,17341.925,18
225075.0999999999,17037.70000000001,19
227059.49999999927,,20
220798.0999999996,17011.550000000017,21
224464.20000000074,17170.725,22
226585.90000000078,16847.95000000001,23
231274.0000000016,17353.350000000017,24
225542.29999999976,16844.35000000001,25
227513.1000000004,16890.375000000004,26
229292.59999999905,17478.325,27
217556.09999999913,,28
222728.59999999998,17037.324999999997,29
225572.90000000017,17147.950000000008,30
220705.3999999995,16809.374999999996,31
223985.79999999932,17065.85,32
226438.49999999886,,33
220591.70000000045,17029.850000000002,34
230114.59999999966,17148.074999999986,35
228921.09999999977,17227.500000000007,36
229785.8,17161.474999999988,37
227493.89999999938,17104.699999999997,38
226037.30000000075,17243.70000000001,39
222576.80000000045,16938.299999999992,40
221967.60000000073,16963.15,41
232358.59999999913,17087.699999999993,42
226475.8000000001,17267.625000000007,43
225718.99999999936,17131.19999999999,44
224353.39999999985,17125.149999999998,45
224078.80000000057,16965.900000000005,46
221113.10000000012,17055.725000000013,47
216287.3000000002,16833.20000000001,48
228756.90000000029,16955.675,49
226599.6999999997,17038.3,50
222644.60000000056,,51
225486.2999999994,16915.325,52
227507.700000001,17194.300000000007,53
230221.0000000002,16988.500000000004,54
225399.39999999947,16992.149999999987,55
223194.30000000048,16808.02500000001,56
226950.49999999924,16973.475,57
215861.90000000023,16969.34999999999,58
225355.3999999995,17227.274999999998,59
233326.80000000139,17152.97500000001,60
222376.5999999998,17142.175000000014,61
230701.5000000001,17158.05,62
220463.30000000066,,63
229331.79999999932,16932.7,64
225350.19999999893,17097.174999999996,65
227146.70000000007,16894.225000000002,66
228904.89999999927,17172.3,67
227911.40000000037,17264.150000000005,68
231860.60000000056,,69
226381.09999999916,16870.324999999997,70
229253.79999999987,16872.375,71
234221.40000000162,17087.92500000001,72
224791.19999999975,,73
