,Total $BYTE,Total Premium,Total Playtime,Simulation Run,$BYTE/h,Premium/h
0,13206556,44669415600,4666718,1,2.8299451563175664,9571.912337535716
1,13195142,44630899800,4668542,2,2.826394621704164,9559.922519707437
2,13155230,44496034800,4663984,3,2.820599298796908,9540.348937732206
3,13171976,44552130900,4668698,4,2.8213381975017446,9542.73137821294
4,13201592,44652210000,4670654,5,2.8264975311808582,9560.162238521629
5,13174946,44562642300,4667060,6,2.8229647786829397,9548.332847659984
6,13151160,44482945800,4663056,7,2.8202878112551084,9539.440615767857
7,13177030,44568823500,4664902,8,2.8247174324348077,9554.074983783154
8,13170514,44547745500,4669024,9,2.8208280788447437,9541.125832722213
9,13212586,44689647600,4672376,10,2.82780880648304,9564.651389357363
10,13167362,44537480400,4666354,11,2.8217666297927675,9544.385273813345
11,13186232,44600313300,4668018,12,2.8248031605705033,9554.443299061828
12,13188458,44608373100,4672230,13,2.8227330418237115,9547.555043309083
13,13147634,44470016400,4667526,14,2.816831443467053,9527.534801091628
14,13171960,44553118800,4665866,15,2.8230472113858394,9548.735175849457
15,13166072,44532720300,4666040,16,2.821680054178704,9544.00740242261
16,13168916,44542102500,4663792,17,2.823649939791483,9550.619431569847
17,13172814,44554590900,4665944,18,2.82318304720331,9548.891049699696
18,13179330,44578146600,4666032,19,2.8245262784310095,9553.759296978675
19,13177786,44572995000,4669294,20,2.822222374517432,9545.981683740625
20,13162906,44522568900,4665390,21,2.8213945672280345,9543.161214818054
21,13176800,44568748800,4670432,22,2.8213235949051394,9542.746538221732
22,13181478,44585562300,4671286,23,2.821809240538901,9544.601272540367
23,13148790,44474644800,4665972,24,2.8180173391524854,9531.699890183652
24,13136672,44434233600,4663880,25,2.8166831050541608,9527.310651217442
25,13164502,44527257300,4665026,26,2.8219568336810985,9544.910853658694
26,13185056,44596635000,4666164,27,2.825673508260747,9557.451259749978
27,13200746,44649514800,4671396,28,2.825867470880225,9558.06675349296
28,13163496,44524447800,4663872,29,2.8224393808406405,9546.670191634761
29,13190696,44615172600,4666404,30,2.8267368191866797,9560.932272473621
30,13176044,44566876500,4671274,31,2.8206532093814234,9540.62564088512
31,13161872,44518761300,4666782,32,2.8203314403801163,9539.49880238674
32,13176070,44565687000,4667040,33,2.8232177140114505,9549.026149336625
33,13146238,44465556000,4661692,34,2.820057180954898,9538.501471139663
34,13204758,44663733600,4669388,35,2.827941905877173,9565.222166159676
35,13156978,44501792700,4666094,36,2.819698445852141,9537.26879484211
36,13196516,44635192500,4670792,37,2.8253272678380883,9556.23639417041
37,13212968,44691012600,4670804,38,2.8288423149419244,9568.162697471356
38,13194252,44627118900,4668188,39,2.8264183019192886,9559.837542960995
39,13182410,44587016400,4667730,40,2.824158638138881,9552.184123760371
40,13150392,44480256900,4667458,41,2.817463381566583,9529.867628160768
41,13173532,44556880500,4665000,42,2.823908252947481,9551.314147909969
42,13146496,44466594300,4661884,43,2.819996379146285,9538.33134844196
