Total Play Time,Total XP,Bot Name
8.0,96,bot1
4.0,36,bot2
2.0,30,bot3
8.0,240,bot4
12.0,156,bot1
6.0,116,bot2
6.0,150,bot3
16.0,312,bot4
14.0,180,bot1
14.0,356,bot2
14.0,246,bot3
20.0,372,bot4
18.0,340,bot1
16.0,416,bot2
16.0,306,bot3
24.0,420,bot4
26.0,580,bot1
20.0,536,bot2
20.0,354,bot3
32.0,516,bot4
22.0,566,bot2
24.0,554,bot3
34.0,540,bot4
35.85,676,bot1
30.0,662,bot2
32.0,626,bot3
43.85,916,bot1
32.0,742,bot2
34.0,706,bot3
44.25,780,bot4
51.85,988,bot1
36.0,778,bot2
42.0,946,bot3
52.25,900,bot4
55.85,1036,bot1
40.0,814,bot2
50.0,1266,bot3
54.25,924,bot4
59.85,1084,bot1
42.0,844,bot2
54.0,1302,bot3
58.25,1084,bot4
63.85,1204,bot1
46.0,964,bot2
58.0,1350,bot3
66.25,1180,bot4
67.85,1240,bot1
48.0,994,bot2
66.0,1590,bot3
74.25,1300,bot4
69.85,1270,bot1
56.0,1394,bot2
70.0,1750,bot3
78.25,1336,bot4
71.85,1288,bot1
64.0,1634,bot2
72.0,1850,bot3
86.25,1456,bot4
75.85,1324,bot1
72.0,1706,bot2
76.0,1970,bot3
90.25,1504,bot4
79.85,1360,bot1
80.0,2106,bot2
78.0,2000,bot3
87.85,1480,bot1
84.0,2154,bot2
80.0,2024,bot3
94.475,1564,bot4
95.85,1552,bot1
88.0,2274,bot2
82.0,2084,bot3
96.475,1664,bot4
103.85,1792,bot1
96.0,2370,bot2
86.0,2120,bot3
98.475,1744,bot4
90.0,2320,bot3
102.475,1792,bot4
110.32499999999999,1840,bot1
100.4,2394,bot2
92.0,2380,bot3
110.475,2192,bot4
114.32499999999999,1960,bot1
102.4,2424,bot2
118.475,2312,bot4
122.32499999999999,2360,bot1
110.4,2744,bot2
98.4,2440,bot3
124.32499999999999,2420,bot1
112.4,2824,bot2
100.4,2540,bot3
124.82499999999999,2372,bot4
128.325,2456,bot1
116.4,2872,bot2
102.4,2600,bot3
128.825,2532,bot4
130.325,2556,bot1
124.4,3112,bot2
106.4,2720,bot3
130.825,2550,bot4
132.325,2656,bot1
108.4,2744,bot3
132.825,2650,bot4
136.325,2692,bot1
128.2,3172,bot2
116.4,2864,bot3
140.825,2770,bot4
138.325,2752,bot1
130.2,3272,bot2
120.4,3064,bot3
144.825,2930,bot4
140.325,2770,bot1
132.2,3290,bot2
134.2,3390,bot2
126.65,3224,bot3
150.92499999999998,3090,bot4
144.725,2850,bot1
138.2,3426,bot2
134.65,3296,bot3
152.92499999999998,3190,bot4
152.725,3090,bot1
142.2,3586,bot2
138.65,3456,bot3
160.92499999999998,3310,bot4
154.725,3170,bot1
150.2,3826,bot2
140.65,3516,bot3
164.92499999999998,3510,bot4
158.725,3330,bot1
158.2,4066,bot2
142.65,3596,bot3
172.92499999999998,3830,bot4
166.725,3426,bot1
166.2,4162,bot2
150.65,3836,bot3
176.92499999999998,3950,bot4
168.725,3456,bot1
158.65,4156,bot3
176.725,3576,bot1
176.7,4234,bot2
187.42499999999998,4190,bot4
184.7,4354,bot2
162.9,4256,bot3
189.42499999999998,4208,bot4
187.325,3816,bot1
186.7,4414,bot2
164.9,4316,bot3
193.42499999999998,4244,bot4
189.325,3834,bot1
194.7,4654,bot2
166.9,4340,bot3
201.42499999999998,4364,bot4
191.325,3934,bot1
202.7,4750,bot2
174.9,4580,bot3
203.42499999999998,4444,bot4
195.325,4094,bot1
204.7,4810,bot2
182.9,4980,bot3
207.42499999999998,4604,bot4
197.325,4174,bot1
190.9,5220,bot3
211.42499999999998,4640,bot4
199.325,4234,bot1
211.1,4970,bot2
194.9,5268,bot3
215.42499999999998,4760,bot4
207.325,4634,bot1
213.1,5030,bot2
209.325,4694,bot1
215.1,5110,bot2
205.25,5508,bot3
221.77499999999998,4880,bot4
211.325,4774,bot1
217.1,5170,bot2
213.25,5908,bot3
225.77499999999998,5080,bot4
225.1,5410,bot2
221.25,6308,bot3
229.77499999999998,5140,bot4
217.625,4834,bot1
233.1,5482,bot2
229.25,6548,bot3
237.77499999999998,5540,bot4
221.625,4882,bot1
241.1,5578,bot2
231.25,6628,bot3
239.77499999999998,5558,bot4
223.625,4982,bot1
243.1,5596,bot2
243.77499999999998,5618,bot4
227.625,5018,bot1
241.8,6748,bot3
245.77499999999998,5648,bot4
235.625,5338,bot1
249.25,5644,bot2
249.8,6988,bot3
237.625,5356,bot1
257.25,6044,bot2
257.8,7108,bot3
250.27499999999998,5678,bot4
239.625,5416,bot1
261.25,6244,bot2
259.8,7132,bot3
254.27499999999998,5878,bot4
247.625,5736,bot1
269.25,6364,bot2
261.8,7162,bot3
258.275,5998,bot4
262.275,6118,bot4
252.125,5836,bot1
279.55,6684,bot2
268.15000000000003,7322,bot3
266.275,6166,bot4
254.125,5854,bot1
287.55,6924,bot2
276.15000000000003,7562,bot3
274.275,6238,bot4
258.125,5902,bot1
289.55,6948,bot2
284.15000000000003,7882,bot3
282.275,6638,bot4
266.125,6302,bot1
291.55,6966,bot2
288.15000000000003,7918,bot3
268.125,6402,bot1
295.55,7014,bot2
292.15000000000003,8118,bot3
288.775,6798,bot4
272.125,6602,bot1
299.55,7134,bot2
300.15000000000003,8214,bot3
296.775,6894,bot4
276.125,6722,bot1
307.55,7230,bot2
300.775,6954,bot4
284.125,6962,bot1
304.65000000000003,8244,bot3
304.775,7154,bot4
317.90000000000003,7326,bot2
312.65000000000003,8644,bot3
312.775,7474,bot4
290.725,7022,bot1
325.90000000000003,7446,bot2
320.65000000000003,8884,bot3
292.725,7082,bot1
329.90000000000003,7494,bot2
324.65000000000003,8932,bot3
323.075,7570,bot4
296.725,7202,bot1
333.90000000000003,7694,bot2
328.65000000000003,8992,bot3
331.075,7810,bot4
300.725,7402,bot1
335.90000000000003,7712,bot2
330.65000000000003,9072,bot3
335.075,7846,bot4
308.725,7802,bot1
339.90000000000003,7760,bot2
343.075,8086,bot4
312.725,7922,bot1
340.90000000000003,9144,bot3
351.075,8182,bot4
314.725,8002,bot1
346.40000000000003,7808,bot2
348.90000000000003,9384,bot3
353.075,8206,bot4
350.40000000000003,7856,bot2
352.90000000000003,9444,bot3
324.975,8322,bot1
354.40000000000003,7892,bot2
356.90000000000003,9504,bot3
359.425,8366,bot4
326.975,8352,bot1
356.40000000000003,7972,bot2
360.90000000000003,9540,bot3
367.425,8462,bot4
334.975,8424,bot1
358.40000000000003,8052,bot2
364.90000000000003,9700,bot3
375.425,8782,bot4
338.975,8544,bot1
362.40000000000003,8112,bot2
368.90000000000003,9900,bot3
377.425,8812,bot4
340.975,8574,bot1
370.40000000000003,8184,bot2
381.425,9012,bot4
344.975,8622,bot1
378.40000000000003,8424,bot2
375.40000000000003,10060,bot3
385.425,9072,bot4
348.975,8782,bot1
380.40000000000003,8454,bot2
377.40000000000003,10090,bot3
356.975,8854,bot1
379.40000000000003,10150,bot3
389.925,9096,bot4
390.90000000000003,8526,bot2
387.40000000000003,10270,bot3
391.925,9126,bot4
361.57500000000005,8914,bot1
392.90000000000003,8556,bot2
395.40000000000003,10342,bot3
395.925,9326,bot4
365.57500000000005,8950,bot1
394.90000000000003,8586,bot2
399.40000000000003,10462,bot3
403.925,9646,bot4
369.57500000000005,9110,bot1
402.90000000000003,8706,bot2
407.40000000000003,10702,bot3
411.925,9718,bot4
373.57500000000005,9170,bot1
410.90000000000003,9106,bot2
409.40000000000003,10732,bot3
415.925,9754,bot4
381.57500000000005,9410,bot1
419.925,9954,bot4
389.57500000000005,9506,bot1
415.3,9130,bot2
414.00000000000006,10832,bot3
423.3,9450,bot2
422.00000000000006,11072,bot3
426.27500000000003,10154,bot4
393.57500000000005,9566,bot1
431.3,9770,bot2
430.00000000000006,11144,bot3
428.27500000000003,10214,bot4
395.57500000000005,9596,bot1
439.3,10010,bot2
438.00000000000006,11464,bot3
436.27500000000003,10334,bot4
399.57500000000005,9656,bot1
443.3,10070,bot2
442.00000000000006,11584,bot3
444.27500000000003,10454,bot4
403.57500000000005,9692,bot1
447.3,10118,bot2
450.00000000000006,11904,bot3
446.27500000000003,10484,bot4
405.57500000000005,9772,bot1
448.27500000000003,10508,bot4
409.57500000000005,9892,bot1
457.75,10518,bot2
460.40000000000003,12224,bot3
417.57500000000005,10212,bot1
461.75,10678,bot2
462.40000000000003,12304,bot3
458.725,10828,bot4
421.57500000000005,10260,bot1
463.75,10708,bot2
470.40000000000003,12624,bot3
460.725,10852,bot4
429.57500000000005,10500,bot1
471.75,11108,bot2
472.40000000000003,12642,bot3
462.725,10870,bot4
480.40000000000003,13042,bot3
464.725,10900,bot4
440.12500000000006,10620,bot1
477.85,11228,bot2
484.40000000000003,13162,bot3
472.725,11140,bot4
444.12500000000006,10740,bot1
479.85,11308,bot2
476.725,11188,bot4
448.12500000000006,10940,bot1
481.85,11368,bot2
488.85,13242,bot3
456.12500000000006,11180,bot1
483.85,11468,bot2
496.85,13482,bot3
482.475,11308,bot4
460.12500000000006,11228,bot1
487.85,11504,bot2
504.85,13882,bot3
486.475,11368,bot4
495.85,11600,bot2
506.85,13962,bot3
488.475,11448,bot4
464.2250000000001,11246,bot1
497.85,11680,bot2
514.85,14282,bot3
490.475,11508,bot4
468.2250000000001,11306,bot1
505.85,11776,bot2
516.85,14362,bot3
494.475,11556,bot4
476.2250000000001,11626,bot1
509.85,11896,bot2
498.475,11604,bot4
484.2250000000001,11722,bot1
523.1,14562,bot3
502.475,11724,bot4
486.2250000000001,11822,bot1
516.25,11956,bot2
531.1,14962,bot3
504.475,11784,bot4
490.2250000000001,11942,bot1
518.25,12036,bot2
535.1,15082,bot3
506.475,11802,bot4
492.2250000000001,12002,bot1
520.25,12116,bot2
537.1,15100,bot3
508.475,11820,bot4
494.2250000000001,12062,bot1
524.25,12152,bot2
541.1,15300,bot3
512.475,11880,bot4
496.2250000000001,12086,bot1
526.25,12212,bot2
549.1,15540,bot3
534.25,12332,bot2
516.825,11980,bot4
500.67500000000007,12186,bot1
542.25,12572,bot2
559.4,15780,bot3
520.825,12028,bot4
504.67500000000007,12246,bot1
561.4,15810,bot3
528.825,12148,bot4
508.67500000000007,12306,bot1
548.45,12692,bot2
569.4,15882,bot3
532.825,12308,bot4
510.67500000000007,12366,bot1
556.45,12932,bot2
571.4,15962,bot3
540.825,12708,bot4
514.6750000000001,12486,bot1
564.45,13028,bot2
573.4,16042,bot3
516.6750000000001,12546,bot1
566.45,13108,bot2
575.4,16066,bot3
551.225,12828,bot4
524.6750000000001,12786,bot1
568.45,13138,bot2
579.4,16114,bot3
555.225,13028,bot4
526.6750000000001,12846,bot1
576.45,13210,bot2
583.4,16314,bot3
559.225,13228,bot4
528.6750000000001,12864,bot1
580.45,13246,bot2
585.4,16338,bot3
563.225,13388,bot4
532.6750000000001,13024,bot1
584.45,13366,bot2
571.225,13628,bot4
536.6750000000001,13184,bot1
595.6999999999999,16578,bot3
590.8000000000001,13526,bot2
599.6999999999999,16614,bot3
581.525,13868,bot4
547.2750000000001,13304,bot1
598.8000000000001,13846,bot2
601.6999999999999,16674,bot3
589.525,13940,bot4
555.2750000000001,13704,bot1
600.8000000000001,13870,bot2
603.6999999999999,16754,bot3
597.525,14060,bot4
563.2750000000001,13944,bot1
608.8000000000001,14190,bot2
611.6999999999999,17154,bot3
605.525,14180,bot4
567.2750000000001,13980,bot1
616.8000000000001,14590,bot2
615.6999999999999,17274,bot3
617.6999999999999,17292,bot3
615.925,14580,bot4
573.4750000000001,14016,bot1
627.2500000000001,14830,bot2
621.6999999999999,17452,bot3
617.925,14610,bot4
575.4750000000001,14040,bot1
635.2500000000001,15070,bot2
619.925,14670,bot4
583.4750000000001,14136,bot1
643.2500000000001,15470,bot2
625.9499999999999,17470,bot3
627.925,14790,bot4
591.4750000000001,14232,bot1
651.2500000000001,15590,bot2
633.9499999999999,17590,bot3
629.925,14870,bot4
599.4750000000001,14352,bot1
637.9499999999999,17750,bot3
633.925,15070,bot4
661.6500000000001,15830,bot2
639.9499999999999,17780,bot3
603.8250000000002,14452,bot1
665.6500000000001,15990,bot2
643.9499999999999,17980,bot3
638.375,15130,bot4
611.8250000000002,14572,bot1
673.6500000000001,16310,bot2
647.9499999999999,18016,bot3
640.375,15210,bot4
619.8250000000002,14972,bot1
677.6500000000001,16510,bot2
651.9499999999999,18052,bot3
648.375,15450,bot4
623.8250000000002,15032,bot1
681.6500000000001,16558,bot2
655.9499999999999,18088,bot3
652.375,15650,bot4
689.6500000000001,16798,bot2
657.9499999999999,18168,bot3
660.375,15970,bot4
630.0250000000002,15068,bot1
664.375,16030,bot4
632.0250000000002,15128,bot1
696.0500000000001,16918,bot2
662.4999999999999,18192,bot3
666.375,16060,bot4
634.0250000000002,15208,bot1
698.0500000000001,16942,bot2
664.4999999999999,18216,bot3
642.0250000000002,15304,bot1
702.0500000000001,16978,bot2
672.4999999999999,18312,bot3
676.625,16300,bot4
646.0250000000002,15464,bot1
706.0500000000001,17098,bot2
674.4999999999999,18392,bot3
678.625,16400,bot4
650.0250000000002,15524,bot1
710.0500000000001,17258,bot2
678.4999999999999,18592,bot3
686.625,16720,bot4
652.0250000000002,15604,bot1
718.0500000000001,17578,bot2
686.4999999999999,18912,bot3
688.625,16800,bot4
656.0250000000002,15764,bot1
722.0500000000001,17698,bot2
694.4999999999999,19152,bot3
692.625,16920,bot4
726.0500000000001,17734,bot2
694.625,16944,bot4
662.2250000000003,15812,bot1
734.0500000000001,17806,bot2
700.9499999999999,19312,bot3
696.625,16962,bot4
664.2250000000003,15872,bot1
702.9499999999999,19412,bot3
700.625,17010,bot4
672.2250000000003,15968,bot1
740.5000000000001,18006,bot2
704.9499999999999,19442,bot3
708.625,17250,bot4
674.2250000000003,15998,bot1
748.5000000000001,18326,bot2
706.9499999999999,19502,bot3
676.2250000000003,16058,bot1
752.5000000000001,18526,bot2
710.9499999999999,19702,bot3
715.125,17370,bot4
684.2250000000003,16378,bot1
754.5000000000001,18586,bot2
718.9499999999999,20022,bot3
717.125,17450,bot4
688.2250000000003,16578,bot1
762.5000000000001,18906,bot2
720.9499999999999,20082,bot3
721.125,17570,bot4
690.2250000000003,16678,bot1
724.9499999999999,20142,bot3
725.125,17690,bot4
692.2250000000003,16696,bot1
766.6000000000001,18930,bot2
726.9499999999999,20202,bot3
733.125,17810,bot4
768.6000000000001,19010,bot2
741.125,18130,bot4
696.8250000000003,16776,bot1
772.6000000000001,19170,bot2
731.3499999999999,20226,bot3
698.8250000000003,16836,bot1
776.6000000000001,19206,bot2
733.3499999999999,20306,bot3
751.275,18226,bot4
702.8250000000003,16956,bot1
784.6000000000001,19278,bot2
741.3499999999999,20706,bot3
759.275,18546,bot4
710.8250000000003,17076,bot1
792.6000000000001,19374,bot2
743.3499999999999,20766,bot3
767.275,18618,bot4
714.8250000000003,17276,bot1
796.6000000000001,19494,bot2
751.3499999999999,21166,bot3
769.275,18718,bot4
718.8250000000003,17336,bot1
798.6000000000001,19518,bot2
755.3499999999999,21366,bot3
773.275,18766,bot4
722.8250000000003,17396,bot1
781.275,18838,bot4
804.7500000000001,19678,bot2
761.7499999999999,21426,bot3
727.2750000000003,17476,bot1
812.7500000000001,19998,bot2
765.7499999999999,21586,bot3
791.775,18958,bot4
729.2750000000003,17556,bot1
820.7500000000001,20118,bot2
769.7499999999999,21746,bot3
795.775,19018,bot4
733.2750000000003,17604,bot1
828.7500000000001,20438,bot2
773.7499999999999,21866,bot3
803.775,19418,bot4
741.2750000000003,17844,bot1
830.7500000000001,20518,bot2
781.7499999999999,22106,bot3
811.775,19658,bot4
743.2750000000003,17868,bot1
789.7499999999999,22506,bot3
751.2750000000003,18108,bot1
835.2000000000002,20618,bot2
818.175,19694,bot4
759.2750000000003,18228,bot1
839.2000000000002,20818,bot2
796.1499999999999,22666,bot3
820.175,19774,bot4
847.2000000000002,21218,bot2
800.1499999999999,22786,bot3
824.175,19822,bot4
769.6250000000003,18628,bot1
849.2000000000002,21236,bot2
808.1499999999999,23106,bot3
826.175,19846,bot4
773.6250000000003,18788,bot1
851.2000000000002,21266,bot2
816.1499999999999,23178,bot3
830.175,19906,bot4
781.6250000000003,18884,bot1
855.2000000000002,21426,bot2
824.1499999999999,23418,bot3
834.175,20026,bot4
785.6250000000003,18932,bot1
859.2000000000002,21586,bot2
842.175,20346,bot4
789.6250000000003,19052,bot1
861.2000000000002,21646,bot2
834.0499999999998,23514,bot3
846.175,20466,bot4
838.0499999999998,23550,bot3
848.175,20526,bot4
799.8250000000004,19452,bot1
867.6000000000001,21694,bot2
840.0499999999998,23630,bot3
803.8250000000004,19652,bot1
871.6000000000001,21730,bot2
848.0499999999998,23726,bot3
858.4749999999999,20926,bot4
805.8250000000004,19682,bot1
873.6000000000001,21790,bot2
850.0499999999998,23806,bot3
866.4749999999999,21046,bot4
809.8250000000004,19742,bot1
875.6000000000001,21850,bot2
858.0499999999998,24046,bot3
868.4749999999999,21070,bot4
811.8250000000004,19760,bot1
883.6000000000001,22170,bot2
860.0499999999998,24070,bot3
876.4749999999999,21310,bot4
815.8250000000004,19796,bot1
887.6000000000001,22230,bot2
864.0499999999998,24118,bot3
880.4749999999999,21430,bot4
819.8250000000004,19844,bot1
889.6000000000001,22260,bot2
893.6000000000001,22420,bot2
874.5999999999998,24238,bot3
884.8249999999999,21530,bot4
830.2250000000004,19964,bot1
897.6000000000001,22540,bot2
876.5999999999998,24318,bot3
892.8249999999999,21650,bot4
834.2250000000004,20012,bot1
884.5999999999998,24390,bot3
900.8249999999999,21970,bot4
838.2250000000004,20212,bot1
908.0000000000001,22780,bot2
886.5999999999998,24470,bot3
908.8249999999999,22210,bot4
842.2250000000004,20332,bot1
912.0000000000001,22940,bot2
888.5999999999998,24550,bot3
916.8249999999999,22450,bot4
846.2250000000004,20452,bot1
914.0000000000001,22964,bot2
896.5999999999998,24950,bot3
916.0000000000001,23064,bot2
927.2249999999999,22570,bot4
850.1250000000003,20512,bot1
918.0000000000001,23164,bot2
903.0499999999998,25110,bot3
935.2249999999999,22666,bot4
852.1250000000003,20542,bot1
920.0000000000001,23244,bot2
911.0499999999998,25430,bot3
939.2249999999999,22826,bot4
856.1250000000003,20702,bot1
924.0000000000001,23304,bot2
919.0499999999998,25502,bot3
943.2249999999999,22986,bot4
864.1250000000003,20822,bot1
921.0499999999998,25602,bot3
945.2249999999999,23016,bot4
866.1250000000003,20846,bot1
927.8000000000001,23364,bot2
923.0499999999998,25662,bot3
868.1250000000003,20926,bot1
931.8000000000001,23524,bot2
925.0499999999998,25692,bot3
949.425,23046,bot4
872.1250000000003,21046,bot1
933.8000000000001,23624,bot2
929.0499999999998,25740,bot3
953.425,23094,bot4
876.1250000000003,21106,bot1
935.8000000000001,23648,bot2
931.0499999999998,25820,bot3
957.425,23254,bot4
943.8000000000001,23888,bot2
935.0499999999998,25940,bot3
961.425,23414,bot4
886.4250000000003,21426,bot1
951.8000000000001,24128,bot2
965.425,23614,bot4
888.4250000000003,21526,bot1
953.8000000000001,24152,bot2
939.4999999999999,26020,bot3
967.425,23674,bot4
890.4250000000003,21586,bot1
957.8000000000001,24352,bot2
941.4999999999999,26100,bot3
975.425,23746,bot4
892.4250000000003,21646,bot1
959.8000000000001,24412,bot2
945.4999999999999,26300,bot3
983.425,23818,bot4
894.4250000000003,21706,bot1
947.4999999999999,26360,bot3
896.4250000000003,21786,bot1
970.0000000000001,24732,bot2
949.4999999999999,26420,bot3
993.8249999999999,23914,bot4
900.4250000000003,21846,bot1
972.0000000000001,24756,bot2
953.4999999999999,26620,bot3
1001.8249999999999,24154,bot4
904.4250000000003,21966,bot1
980.0000000000001,25156,bot2
955.4999999999999,26700,bot3
1009.8249999999999,24274,bot4
912.4250000000003,22286,bot1
984.0000000000001,25316,bot2
959.4999999999999,26820,bot3
1017.8249999999999,24370,bot4
914.4250000000003,22310,bot1
988.0000000000001,25516,bot2
963.4999999999999,26880,bot3
990.0000000000001,25596,bot2
967.4999999999999,27080,bot3
1024.225,24406,bot4
919.0250000000003,22390,bot1
992.0000000000001,25614,bot2
1026.225,24424,bot4
927.0250000000003,22462,bot1
971.9499999999999,27140,bot3
1030.225,24584,bot4
929.0250000000003,22562,bot1
996.5000000000001,25674,bot2
979.9499999999999,27260,bot3
1032.225,24684,bot4
931.0250000000003,22592,bot1
998.5000000000001,25698,bot2
983.9499999999999,27296,bot3
1034.225,24744,bot4
933.0250000000003,22692,bot1
1006.5000000000001,25770,bot2
991.9499999999999,27536,bot3
1042.225,25064,bot4
937.0250000000003,22892,bot1
1008.5000000000001,25800,bot2
995.9499999999999,27736,bot3
1044.225,25144,bot4
945.0250000000003,22988,bot1
1010.5000000000001,25880,bot2
1003.9499999999999,27832,bot3
1048.225,25180,bot4
1014.5000000000001,26080,bot2
1050.225,25198,bot4
949.1750000000003,23048,bot1
1022.5000000000001,26320,bot2
1014.4499999999999,28232,bot3
951.1750000000003,23108,bot1
1024.5,26350,bot2
1016.4499999999999,28256,bot3
1056.175,25318,bot4
953.1750000000003,23138,bot1
1026.5,26450,bot2
1018.4499999999999,28316,bot3
1060.175,25478,bot4
961.1750000000003,23538,bot1
1030.5,26610,bot2
1022.4499999999999,28516,bot3
1068.175,25798,bot4
965.1750000000003,23658,bot1
1024.4499999999998,28596,bot3
1070.175,25828,bot4
969.1750000000003,23818,bot1
1037.0,26730,bot2
1028.4499999999998,28632,bot3
1072.175,25888,bot4
971.1750000000003,23898,bot1
1041.0,26930,bot2
1032.4499999999998,28752,bot3
1076.175,26008,bot4
973.1750000000003,23922,bot1
1045.0,26978,bot2
1036.4499999999998,28912,bot3
1084.175,26104,bot4
981.1750000000003,23994,bot1
1047.0,27038,bot2
983.1750000000003,24054,bot1
1049.0,27098,bot2
1042.7499999999998,29072,bot3
1090.375,26224,bot4
985.1750000000003,24114,bot1
1057.0,27418,bot2
1050.7499999999998,29192,bot3
1098.375,26344,bot4
1059.0,27448,bot2
1054.7499999999998,29252,bot3
1100.375,26444,bot4
989.7750000000003,24138,bot1
1061.0,27478,bot2
1062.7499999999998,29652,bot3
1102.375,26544,bot4
993.7750000000003,24258,bot1
1066.7499999999998,29688,bot3
1104.375,26604,bot4
997.7750000000003,24458,bot1
1071.1,27798,bot2
1108.375,26640,bot4
999.7750000000003,24476,bot1
1073.1,27878,bot2
1073.2499999999998,29848,bot3
1112.375,26676,bot4
1001.7750000000003,24576,bot1
1077.1,27914,bot2
1077.2499999999998,29968,bot3
1114.375,26706,bot4
1009.7750000000003,24816,bot1
1081.1,27974,bot2
1085.2499999999998,30088,bot3
1118.375,26826,bot4
1013.7750000000003,24936,bot1
1085.1,28094,bot2
1087.2499999999998,30118,bot3
1017.7750000000003,25136,bot1
1093.1,28414,bot2
1095.2499999999998,30190,bot3
1128.675,27066,bot4
1025.7750000000003,25376,bot1
1097.2499999999998,30290,bot3
1130.675,27096,bot4
1099.25,28450,bot2
1105.2499999999998,30362,bot3
1138.675,27496,bot4
1030.2250000000004,25436,bot1
1107.25,28770,bot2
1146.675,27568,bot4
1038.2250000000004,25676,bot1
1111.25,28930,bot2
1111.7499999999998,30482,bot3
1148.675,27586,bot4
1042.2250000000004,25796,bot1
1113.25,29030,bot2
1115.7499999999998,30642,bot3
1156.675,27682,bot4
1050.2250000000004,25916,bot1
1115.25,29130,bot2
1119.7499999999998,30762,bot3
1054.2250000000004,26116,bot1
1123.25,29250,bot2
1121.7499999999998,30792,bot3
1167.175,27922,bot4
1056.2250000000004,26140,bot1
1125.7499999999998,30852,bot3
1169.175,28022,bot4
1058.2250000000004,26240,bot1
1127.55,29310,bot2
1133.7499999999998,31252,bot3
1173.175,28142,bot4
1060.2250000000004,26320,bot1
1135.55,29406,bot2
1137.7499999999998,31412,bot3
1181.175,28238,bot4
1143.55,29478,bot2
1183.175,28268,bot4
1064.6250000000005,26380,bot1
1147.55,29638,bot2
1148.1499999999999,31508,bot3
1187.175,28316,bot4
1066.6250000000005,26480,bot1
1151.55,29838,bot2
